iter	Passed	Remaining
0	61	61197
1	61	30810
2	62	20673
3	62	15584
4	63	12541
5	63	10532
6	64	9083
7	64	7993
8	64	7148
9	65	6468
10	65	5909
11	66	5445
12	66	5055
13	67	4719
14	67	4425
15	67	4169
16	68	3941
17	68	3742
18	68	3559
19	69	3394
20	69	3248
21	70	3113
22	70	2991
23	70	2881
24	71	2779
25	71	2685
26	72	2597
27	72	2516
28	72	2439
29	73	2368
30	73	2301
31	74	2239
32	74	2180
33	74	2125
34	75	2073
35	75	2025
36	76	1981
37	76	1940
38	77	1898
39	77	1858
40	77	1824
41	78	1789
42	78	1756
43	79	1723
44	79	1691
45	80	1661
46	80	1631
47	80	1602
48	81	1576
49	81	1550
50	81	1525
51	82	1501
52	82	1477
53	83	1455
54	83	1434
55	83	1413
56	84	1394
57	84	1375
58	85	1356
59	85	1338
60	85	1320
61	86	1304
62	86	1288
63	87	1272
64	87	1257
65	87	1242
66	88	1228
67	88	1211
68	88	1197
69	89	1184
70	89	1170
71	89	1157
72	90	1146
73	90	1134
74	91	1123
75	91	1111
76	91	1100
77	92	1090
78	92	1079
79	92	1069
80	93	1058
81	93	1049
82	94	1039
83	94	1029
84	94	1018
85	95	1010
86	95	999
87	95	991
88	96	983
89	96	975
90	96	966
91	97	958
92	97	951
93	97	943
94	98	936
95	98	929
96	99	921
97	99	915
98	99	908
99	100	901
100	100	894
101	100	886
102	101	879
103	101	873
104	101	866
105	102	860
106	102	854
107	102	848
108	103	842
109	103	837
110	103	831
111	104	826
112	104	820
113	104	815
114	105	810
115	105	805
116	106	800
117	106	795
118	106	790
119	107	785
120	107	781
121	107	776
122	108	770
123	108	765
124	108	761
125	109	757
126	109	752
127	109	747
128	110	743
129	110	739
130	110	735
131	111	731
132	111	727
133	112	723
134	112	720
135	112	716
136	113	712
137	113	708
138	113	704
139	114	701
140	114	698
141	114	694
142	115	691
143	115	687
144	116	684
145	116	681
146	116	677
147	117	674
148	117	671
149	117	668
150	118	664
151	118	662
152	119	658
153	119	655
154	119	652
155	120	649
156	120	646
157	120	643
158	121	641
159	121	638
160	122	635
161	122	633
162	122	630
163	123	627
164	123	625
165	123	622
166	124	619
