iter	Passed	Remaining
0	63	63040
1	63	31920
2	64	21495
3	65	16261
4	66	13144
5	66	11049
6	67	9580
7	68	8439
8	68	7558
9	69	6864
10	69	6289
11	70	5821
12	71	5418
13	71	5066
14	72	4766
15	73	4509
16	74	4279
17	74	4072
18	75	3888
19	76	3732
20	76	3585
21	77	3453
22	78	3330
23	79	3215
24	79	3111
25	80	3014
26	81	2925
27	81	2841
28	82	2760
29	83	2685
30	83	2613
31	84	2548
32	84	2484
33	85	2423
34	85	2367
35	86	2315
36	86	2263
37	87	2216
38	88	2173
39	88	2130
40	89	2093
41	90	2059
42	90	2022
43	91	1985
44	91	1950
45	92	1919
46	93	1886
47	93	1857
48	94	1828
49	94	1801
50	95	1774
51	95	1749
52	96	1723
53	97	1700
54	97	1677
55	98	1655
56	98	1635
57	99	1614
58	99	1593
59	100	1574
60	101	1556
61	101	1537
62	102	1520
63	102	1502
64	103	1486
65	103	1471
66	104	1456
67	105	1442
68	105	1426
69	106	1411
70	106	1398
71	107	1385
72	108	1372
73	108	1359
74	109	1347
75	109	1335
76	110	1324
77	111	1313
78	111	1303
79	112	1292
80	113	1282
81	113	1272
82	113	1259
83	114	1250
84	115	1241
85	116	1237
86	117	1230
87	117	1222
88	118	1213
89	119	1204
90	119	1195
91	120	1187
92	120	1178
93	121	1169
94	121	1161
95	122	1153
96	123	1146
97	123	1139
98	124	1131
99	124	1124
100	125	1117
101	126	1111
102	126	1105
103	127	1097
104	127	1089
105	128	1083
106	129	1077
107	129	1070
108	130	1064
109	130	1059
110	131	1054
111	132	1050
112	133	1045
113	133	1039
114	134	1032
115	134	1027
116	135	1020
117	135	1015
118	136	1009
119	136	1004
120	137	998
121	137	992
122	138	986
123	138	981
124	139	976
125	140	972
126	140	966
127	141	961
128	142	958
129	142	954
130	143	950
131	143	945
132	144	942
133	145	938
134	145	935
135	146	930
136	146	925
137	147	922
138	148	917
139	148	913
140	149	909
141	149	903
142	150	899
143	150	895
144	151	890
145	151	886
146	152	883
147	152	879
148	153	875
149	153	871
150	154	868
151	155	865
152	155	861
153	156	859
154	157	856
155	157	853
156	158	851
157	158	846
158	159	843
159	159	839
160	160	834
161	160	831
162	161	828
163	161	825
164	162	822
165	163	819
166	163	815
167	164	812
168	164	809
169	165	807
170	165	804
171	166	802
172	167	799
173	167	796
174	168	793
175	168	790
176	169	787
177	169	784
178	170	780
179	170	777
180	171	774
181	171	771
182	172	769
183	172	766
184	173	764
185	174	762
186	174	759
187	175	757
188	175	754
189	176	752
190	177	750
191	177	748
192	178	745
193	178	743
194	179	740
195	179	738
196	180	735
197	181	733
198	181	730
199	182	728
200	182	726
201	183	723
202	183	721
203	184	719
204	184	717
205	185	715
206	186	714
207	187	712
208	187	709
209	188	707
210	188	705
211	189	703
212	189	701
213	190	699
214	191	697
215	191	695
216	192	693
217	192	691
218	193	689
219	194	688
220	194	686
221	195	684
222	195	682
223	196	680
224	196	678
225	197	676
226	198	674
227	198	673
228	199	671
229	200	670
230	201	669
231	205	679
232	206	678
233	206	676
234	207	675
235	207	673
236	208	671
237	209	669
238	209	667
239	210	665
240	210	663
241	211	661
242	212	660
243	212	658
244	213	656
245	213	655
246	214	653
247	215	652
248	215	650
249	216	649
250	217	647
251	217	645
252	217	643
253	218	641
254	218	639
255	219	637
